unit,rp2040_uid,is_best_model,calibrated_on,n_magnets,model,a,b,c,n_points,rmse_mm,max_err_mm,aic,fit_min_distance_mm,fit_max_distance_mm,fit_min_field_uT,fit_max_field_uT,bg_x_uT,bg_y_uT,bg_z_uT
Unit-C,df6470a31b8b442e,TRUE,2026-09-19,1,offset,131.60030962629003,-0.28710369032358835,-4.810783742146724,20,0.9049815300546769,2.830995444194439,60.7639115573935,1,20,456.2438651644853,46564.15683064603,168.68852459016392,392,-1418.5901639344263
Unit-C,df6470a31b8b442e,FALSE,2026-09-19,1,power,264.0706046599845,-0.43692222124892366,NA,20,1.0089725456207643,2.6657490986810117,63.114842588486724,1,20,456.2438651644853,46564.15683064603,168.68852459016392,392,-1418.5901639344263
Unit-C,df6470a31b8b442e,TRUE,2026-09-19,2,offset,91.44474603783937,-0.14705348590059963,-17.31618904401984,20,0.16058789400469592,0.3258395913957415,-8.399013076096661,1,20,432.65835505554475,63355.535280559445,168.68852459016392,392,-1418.5901639344263
Unit-C,df6470a31b8b442e,FALSE,2026-09-19,2,power,223.73869245128958,-0.38746642766529515,NA,20,0.954632999440931,2.084684733220692,60.90040908257435,1,20,432.65835505554475,63355.535280559445,168.68852459016392,392,-1418.5901639344263
Unit-C,df6470a31b8b442e,TRUE,2026-09-19,3,offset,110.07889176958642,-0.18541991573672575,-13.079773637402813,20,0.24075141222440785,0.5792707197200215,7.797926832835119,1,20,622.0892539752363,82239.80292114706,168.68852459016392,392,-1418.5901639344263
Unit-C,df6470a31b8b442e,FALSE,2026-09-19,3,power,308.86711923075535,-0.41509720558841606,NA,20,0.9169622991117006,1.8153659173927172,59.289984493693304,1,20,622.0892539752363,82239.80292114706,168.68852459016392,392,-1418.5901639344263
