timestamp,rp2040_uid,x_uT,y_uT,z_uT
2026-09-18T07:57:14,df6470a31b8a2f2e,-29106.000,-3136.000,-49000.000
2026-09-18T07:57:15,df6470a31b8a2f2e,-28910.000,-3234.000,-48902.000
2026-09-18T07:57:16,df6470a31b8a2f2e,-29106.000,-3234.000,-49098.000
2026-09-18T07:57:17,df6470a31b8a2f2e,-29204.000,-3332.000,-49000.000
2026-09-18T07:57:18,df6470a31b8a2f2e,-29106.000,-3136.000,-49000.000
2026-09-18T07:57:19,df6470a31b8a2f2e,-29106.000,-3332.000,-49000.000
2026-09-18T07:57:20,df6470a31b8a2f2e,-29008.000,-3430.000,-48902.000
2026-09-18T07:57:21,df6470a31b8a2f2e,-29106.000,-3234.000,-49000.000
2026-09-18T07:57:22,df6470a31b8a2f2e,-29106.000,-3332.000,-48902.000
2026-09-18T07:57:23,df6470a31b8a2f2e,-29302.000,-3332.000,-49000.000
2026-09-18T07:57:24,df6470a31b8a2f2e,-29204.000,-3332.000,-49000.000
2026-09-18T07:57:25,df6470a31b8a2f2e,-29204.000,-3430.000,-48706.000
2026-09-18T07:57:26,df6470a31b8a2f2e,-29204.000,-3332.000,-48804.000
2026-09-18T07:57:27,df6470a31b8a2f2e,-29400.000,-3430.000,-48804.000
2026-09-18T07:57:28,df6470a31b8a2f2e,-29302.000,-3234.000,-48804.000
2026-09-18T07:57:29,df6470a31b8a2f2e,-29302.000,-3332.000,-48608.000
2026-09-18T07:57:30,df6470a31b8a2f2e,-29400.000,-3528.000,-48804.000
2026-09-18T07:57:31,df6470a31b8a2f2e,-29204.000,-3332.000,-48804.000
2026-09-18T07:57:32,df6470a31b8a2f2e,-29302.000,-3528.000,-48804.000
2026-09-18T07:57:33,df6470a31b8a2f2e,-29302.000,-3430.000,-48608.000
2026-09-18T07:57:34,df6470a31b8a2f2e,-29400.000,-3528.000,-48608.000
2026-09-18T07:57:35,df6470a31b8a2f2e,-29302.000,-3234.000,-48706.000
