Term	Count
anatomical structure development	2091
cell differentiation	932
signaling	908
immune system process	554
lipid metabolic process	352
reproductive process	306
transmembrane transport	278
carbohydrate derivative metabolic process	275
vesicle-mediated transport	264
nucleobase-containing small molecule metabolic process	246
programmed cell death	227
cell motility	214
cytoskeleton organization	185
amino acid metabolic process	165
protein-containing complex assembly	154
membrane organization	147
cell junction organization	130
cell adhesion	127
defense response to other organism	126
circulatory system process	107
nervous system process	105
carbohydrate metabolic process	103
sulfur compound metabolic process	99
DNA-templated transcription	95
mitotic cell cycle	93
mRNA metabolic process	83
protein catabolic process	82
muscle system process	81
tRNA metabolic process	74
DNA repair	67
chromosome segregation	65
microtubule-based movement	62
inflammatory response	60
mitochondrion organization	59
generation of precursor metabolites and energy	58
protein maturation	58
regulation of DNA-templated transcription	56
DNA recombination	55
intracellular protein transport	53
autophagy	53
chromatin organization	52
DNA replication	44
ribosome biogenesis	44
cellular modified amino acid metabolic process	39
establishment or maintenance of cell polarity	39
telomere organization	39
meiotic nuclear division	39
vitamin metabolic process	37
mitotic nuclear division	35
wound healing	34
nucleocytoplasmic transport	33
endocrine process	33
mitochondrial gene expression	33
renal system process	31
regulatory ncRNA-mediated gene silencing	31
cilium organization	31
digestive system process	28
extracellular matrix organization	24
cytokinesis	22
cytoplasmic translation	18
protein glycosylation	17
protein localization to plasma membrane	17
detoxification	17
snRNA metabolic process	16
protein folding	13
lysosome organization	13
cell wall organization or biogenesis	12
peroxisome organization	11
respiratory system process	5
nitrogen cycle metabolic process	2
photosynthesis	1
hepaticobiliary system process	0
