unit,rp2040_uid,is_best_model,calibrated_on,n_magnets,model,a,b,c,n_points,rmse_mm,max_err_mm,aic,fit_min_distance_mm,fit_max_distance_mm,fit_min_field_uT,fit_max_field_uT,bg_x_uT,bg_y_uT,bg_z_uT
Unit-A,df6470a31b8a2f2e,TRUE,2026-09-19,1,offset,201.51829924878737,-0.346905038626363,-3.5244914140803107,20,0.34704810768932826,1.077711647385442,22.42586653736237,1,20,559.2577232102146,49745.24047613672,-94.78688524590164,446.62295081967216,-1143.8688524590164
Unit-A,df6470a31b8a2f2e,FALSE,2026-09-19,1,power,394.1703520986384,-0.4768821913996254,NA,20,0.5257260152387679,1.2692732356597634,37.038537907071266,1,20,559.2577232102146,49745.24047613672,-94.78688524590164,446.62295081967216,-1143.8688524590164
Unit-A,df6470a31b8a2f2e,TRUE,2026-09-19,2,offset,143.92272274173234,-0.2538165125106628,-7.785948236956767,20,0.08990988465653027,0.16933435169554745,-31.60035434634363,1,20,643.3875149088313,65708.9964180225,-94.78688524590164,446.62295081967216,-1143.8688524590164
Unit-A,df6470a31b8a2f2e,FALSE,2026-09-19,2,power,382.27285465060714,-0.4492018775467667,NA,20,0.6859544566968473,1.6199158292506843,47.67977960359154,1,20,643.3875149088313,65708.9964180225,-94.78688524590164,446.62295081967216,-1143.8688524590164
Unit-A,df6470a31b8a2f2e,TRUE,2026-09-19,3,offset,154.93430547703022,-0.2547683517718265,-8.672026714893425,20,0.1187697383245516,0.3813847347499717,-20.465203968215945,1,20,742.6416295749754,55898.182574828585,-94.78688524590164,446.62295081967216,-1143.8688524590164
Unit-A,df6470a31b8a2f2e,FALSE,2026-09-19,3,power,479.73309911066536,-0.47335925019188135,NA,20,0.7097798668540906,1.7150327567551766,49.04552517996427,1,20,742.6416295749754,55898.182574828585,-94.78688524590164,446.62295081967216,-1143.8688524590164
