unit,rp2040_uid,n_magnets,distance_mm,n,mean_uT,sd_uT,cv_pct,min_uT,max_uT
Unit-B,df6470a31b744b2e,3,6,61,8237.832700850911,115.50001724114422,1.402068012733663,7939.412968428912,8543.999297060787
Unit-B,df6470a31b744b2e,3,7,61,6519.437641132392,114.5381868214945,1.756872189387179,6248.818867120158,6707.852842651441
Unit-B,df6470a31b744b2e,3,8,61,5316.712350147382,114.43586616984851,2.152380242400669,5097.768324454787,5556.702028253645
Unit-B,df6470a31b744b2e,3,9,61,4270.91795857597,106.97133921400889,2.5046451430707366,4030.3142359665007,4475.058580583122
Unit-B,df6470a31b744b2e,3,10,61,3519.6478092810294,105.24495779507424,2.990212757013691,3339.822590946246,3740.4413154167864
Unit-B,df6470a31b744b2e,3,11,61,2907.7360378395906,123.74157203758999,4.255598528452684,2580.068124906555,3184.882392966447
Unit-B,df6470a31b744b2e,3,12,61,2419.731241265055,108.65752998572165,4.490479278554697,2214.093706010406,2616.4556406181937
Unit-B,df6470a31b744b2e,3,13,61,1975.7462958294127,103.34145187835584,5.230502119452204,1723.527602915395,2225.3006106697926
Unit-B,df6470a31b744b2e,3,14,61,1618.1647043462658,107.68141171667723,6.654539641573769,1380.9498470178055,1939.1034402810099
Unit-B,df6470a31b744b2e,3,15,61,1349.1019155536192,106.62753185841542,7.903593540941613,1116.5608444338188,1603.322530159233
Unit-B,df6470a31b744b2e,3,16,61,1139.1643580194725,106.69574217884545,9.366141191806989,923.293989720452,1408.4378003147847
Unit-B,df6470a31b744b2e,3,17,61,955.2735957812708,115.46814330478774,12.08744215423981,683.7576897842949,1306.187464758889
Unit-B,df6470a31b744b2e,3,18,61,797.330282889277,103.89886682964418,13.030844188326448,541.5123218659006,1026.8742263295012
Unit-B,df6470a31b744b2e,3,19,61,726.6081820421471,118.68332038354123,16.333881632048147,436.7384196422558,1027.487332127953
Unit-B,df6470a31b744b2e,3,20,61,625.2128491261794,102.54149089992039,16.40105302429983,391.0936175437007,852.6370980447115
