unit,rp2040_uid,n_magnets,distance_mm,n,mean_uT,sd_uT,cv_pct,min_uT,max_uT
Unit-B,df6470a31b744b2e,1,1,61,28567.865969590606,117.74298650607442,0.4121518444234067,28299.74263547421,28862.41625005526
Unit-B,df6470a31b744b2e,1,2,61,19237.0544945406,103.4301775177105,0.5376611972849772,19029.934847919056,19450.236856107098
Unit-B,df6470a31b744b2e,1,3,72,13448.0574894754,98.14861216356277,0.7298348645547877,13170.575602193445,13651.893617093474
Unit-B,df6470a31b744b2e,1,4,61,9551.539678123385,109.23681234876959,1.14365658344029,9321.319279100428,9923.794517598571
Unit-B,df6470a31b744b2e,1,5,66,6986.1211449979655,102.27740271455143,1.464008433174418,6642.044860026274,7256.2484450556085
Unit-B,df6470a31b744b2e,1,6,61,5253.973464000638,101.25199595486814,1.9271508820634546,5030.693488156656,5520.672095100183
Unit-B,df6470a31b744b2e,1,7,61,3965.263616425186,98.28962283052753,2.4787664160179803,3746.350572373872,4180.3048976546615
Unit-B,df6470a31b744b2e,1,8,61,3063.6731092670652,87.64659386016514,2.860833735657039,2857.317735904239,3191.6970440444543
Unit-B,df6470a31b744b2e,1,9,61,2439.250739464431,88.83401282207893,3.6418565498347903,2260.852092662528,2624.2066069660127
Unit-B,df6470a31b744b2e,1,10,61,1895.0003534615114,105.93812798451079,5.590401489424443,1603.1261226816816,2105.887886724721
Unit-B,df6470a31b744b2e,1,11,61,1455.647891452113,93.76374383642565,6.4413753069699835,1301.5990372418812,1696.4584096629676
Unit-B,df6470a31b744b2e,1,12,61,1199.3867304637315,101.01383176451367,8.422123506857345,1007.6829393256634,1414.9621282001845
Unit-B,df6470a31b744b2e,1,13,61,930.7072653532153,124.0448807373336,13.328023252322735,623.9195418742698,1245.4094545516734
Unit-B,df6470a31b744b2e,1,14,61,768.3468440263838,90.35909023607074,11.760195403752833,554.4415485857571,956.9554461311873
Unit-B,df6470a31b744b2e,1,15,61,654.890183683107,95.23127279004925,14.541563633534388,438.3576516934232,866.7388216161389
Unit-B,df6470a31b744b2e,1,16,61,571.6060286283519,85.07891104191879,14.884187146534732,397.4825551113465,730.9447656767942
Unit-B,df6470a31b744b2e,1,17,61,515.7454291731211,89.99958888802615,17.450390017478146,298.11922135688405,744.3910403558784
Unit-B,df6470a31b744b2e,1,18,61,513.5695487086881,96.63228659819104,18.81581313400724,322.2299168649036,805.3468785142205
Unit-B,df6470a31b744b2e,1,19,61,492.2472119180119,96.5268374267739,19.609422885436533,298.11922135688405,798.6723335460814
Unit-B,df6470a31b744b2e,1,20,61,499.9252559909533,90.64545969489728,18.13180242618861,347.61461793407256,726.4073652616479
Unit-B,df6470a31b744b2e,2,1,61,30198.86619247451,100.0126219399858,0.3311800559085517,30018.405463074687,30495.6811871803
Unit-B,df6470a31b744b2e,2,2,61,21747.79053432426,81.93523774700668,0.37675200898081734,21595.37181111514,21954.185568774243
Unit-B,df6470a31b744b2e,2,3,61,15894.39448563833,105.55969719551737,0.6641316049560602,15637.728173056492,16111.090217243996
Unit-B,df6470a31b744b2e,2,4,61,11893.632810249608,127.00098683378498,1.0678065218588133,11548.417411467542,12157.4176313716
Unit-B,df6470a31b744b2e,2,5,61,8983.297316219361,105.47468942340872,1.1741199885811857,8784.409814634897,9229.377940495398
Unit-B,df6470a31b744b2e,2,6,61,6972.135535504002,98.02249580990575,1.4059178183032823,6701.054430459321,7194.0024875901945
Unit-B,df6470a31b744b2e,2,7,61,5494.653575604355,85.64060584074046,1.5586170203882395,5269.527299045744,5654.61116240642
Unit-B,df6470a31b744b2e,2,8,61,4331.373344032861,117.47620160405016,2.7122160172567873,4100.123595255629,4593.189404564981
Unit-B,df6470a31b744b2e,2,9,61,3482.0879134798884,94.68498442515707,2.719201432525921,3283.6531517445787,3687.5790611778775
Unit-B,df6470a31b744b2e,2,10,61,2802.4209176309864,96.0404095547061,3.427051552123491,2575.64018232962,3024.820751439522
Unit-B,df6470a31b744b2e,2,11,62,2280.890806870416,104.49435215217314,4.581295686642213,2008.8919190124645,2508.879441852277
Unit-B,df6470a31b744b2e,2,12,63,1833.2089182399288,110.7271721418385,6.040073831200215,1599.783506248188,2094.530657856268
Unit-B,df6470a31b744b2e,2,13,61,1477.3798965824888,100.89709875780584,6.829462008465356,1241.1037874110455,1706.2675557431721
Unit-B,df6470a31b744b2e,2,14,61,1251.2896806808756,84.54356463440547,6.756514174112106,1105.6500148728514,1435.673642527212
Unit-B,df6470a31b744b2e,2,15,61,1021.8340710433051,114.60832730893345,11.215943033874076,713.8359466060987,1250.5189170683159
Unit-B,df6470a31b744b2e,2,16,61,843.7275420427201,111.11021123068701,13.168968143635784,615.9194017781036,1123.1686097288064
Unit-B,df6470a31b744b2e,2,17,61,718.3696415373664,89.88949690818313,12.512986589440596,554.4415485857571,974.5621234367344
Unit-B,df6470a31b744b2e,2,18,61,632.3078314732356,90.15213929703081,14.25763446373616,378.20012220716796,861.3634947816367
Unit-B,df6470a31b744b2e,2,19,61,540.8467405734925,95.54760314488377,17.666299152245763,371.4797013338556,741.1054578470134
Unit-B,df6470a31b744b2e,2,20,61,530.4523842838478,97.05112344432573,18.29591615001455,312.0528349202729,734.2758145150765
Unit-B,df6470a31b744b2e,3,1,62,32033.75739901296,116.04222182194857,0.36224979909950905,31729.528736245684,32337.956423180476
Unit-B,df6470a31b744b2e,3,2,61,23945.615009124882,98.03533319569705,0.4094082910726621,23740.33645654885,24160.00841496389
Unit-B,df6470a31b744b2e,3,3,61,17874.829630481265,85.59492222645008,0.4788572758225808,17734.890869472798,18043.52813055172
Unit-B,df6470a31b744b2e,3,4,61,13600.892080592908,68.3970637653719,0.5028866000853544,13476.087985688253,13782.333355041397
Unit-B,df6470a31b744b2e,3,5,61,10546.72416582688,84.03503308201648,0.7967880050784282,10353.412741604156,10731.309876259578
