unit,rp2040_uid,is_best_model,calibrated_on,n_magnets,model,a,b,c,n_points,rmse_mm,max_err_mm,aic,fit_min_distance_mm,fit_max_distance_mm,fit_min_field_uT,fit_max_field_uT,bg_x_uT,bg_y_uT,bg_z_uT
Unit-B,df6470a31b744b2e,TRUE,2026-09-19,1,offset,201.15382000930785,-0.3594487955801173,-3.5781837748976004,20,0.6902058054595867,2.030028077736752,49.92692304490242,1,20,492.2472119180119,28567.865969590606,70.68852459016394,589.6065573770492,-1050.688524590164
Unit-B,df6470a31b744b2e,FALSE,2026-09-19,1,power,408.3562901090545,-0.5003004847811477,NA,20,0.779047334893573,1.7704591191731751,52.77020247641482,1,20,492.2472119180119,28567.865969590606,70.68852459016394,589.6065573770492,-1050.688524590164
Unit-B,df6470a31b744b2e,TRUE,2026-09-19,2,offset,118.4360534514666,-0.20908959056552667,-12.640179504501907,20,0.20817947268351852,0.740323263201887,1.9833524529305269,1,20,530.4523842838478,30198.86619247451,70.68852459016394,589.6065573770492,-1050.688524590164
Unit-B,df6470a31b744b2e,FALSE,2026-09-19,2,power,381.51260210845095,-0.4695093741300198,NA,20,0.8020014245751694,2.006846706307721,53.93174553462955,1,20,530.4523842838478,30198.86619247451,70.68852459016394,589.6065573770492,-1050.688524590164
Unit-B,df6470a31b744b2e,TRUE,2026-09-19,3,offset,117.17748573428314,-0.17569171894102695,-17.96801805337174,20,0.10042517296905645,0.2604826758435088,-27.17615372652447,1,20,625.2128491261794,32033.75739901296,70.68852459016394,589.6065573770492,-1050.688524590164
Unit-B,df6470a31b744b2e,FALSE,2026-09-19,3,power,455.5599541414534,-0.47819640973242966,NA,20,0.9069406414984201,2.191391085726833,58.85041029284451,1,20,625.2128491261794,32033.75739901296,70.68852459016394,589.6065573770492,-1050.688524590164
