timestamp,rp2040_uid,x_uT,y_uT,z_uT
2026-09-18T11:59:16,df6470a31b744b2e,-2156.000,23226.000,-18228.000
2026-09-18T11:59:17,df6470a31b744b2e,-2058.000,23226.000,-18130.000
2026-09-18T11:59:18,df6470a31b744b2e,-1960.000,23324.000,-18228.000
2026-09-18T11:59:19,df6470a31b744b2e,-2058.000,23226.000,-18326.000
2026-09-18T11:59:20,df6470a31b744b2e,-1862.000,23226.000,-18326.000
2026-09-18T11:59:21,df6470a31b744b2e,-2156.000,23422.000,-18228.000
2026-09-18T11:59:22,df6470a31b744b2e,-2058.000,23226.000,-18228.000
2026-09-18T11:59:23,df6470a31b744b2e,-2156.000,23324.000,-18228.000
2026-09-18T11:59:24,df6470a31b744b2e,-1960.000,23226.000,-18130.000
2026-09-18T11:59:25,df6470a31b744b2e,-2058.000,23128.000,-18032.000
2026-09-18T11:59:26,df6470a31b744b2e,-1960.000,23128.000,-18228.000
2026-09-18T11:59:27,df6470a31b744b2e,-1862.000,23324.000,-18130.000
2026-09-18T11:59:28,df6470a31b744b2e,-2156.000,23324.000,-18130.000
2026-09-18T11:59:29,df6470a31b744b2e,-2058.000,23324.000,-18228.000
2026-09-18T11:59:30,df6470a31b744b2e,-2058.000,23520.000,-18130.000
2026-09-18T11:59:31,df6470a31b744b2e,-2058.000,23128.000,-18032.000
2026-09-18T11:59:32,df6470a31b744b2e,-1862.000,23422.000,-18228.000
2026-09-18T11:59:33,df6470a31b744b2e,-2058.000,23520.000,-18326.000
2026-09-18T11:59:34,df6470a31b744b2e,-1960.000,23422.000,-18228.000
2026-09-18T11:59:35,df6470a31b744b2e,-1960.000,23324.000,-18326.000
2026-09-18T11:59:36,df6470a31b744b2e,-2058.000,23324.000,-18326.000
2026-09-18T11:59:37,df6470a31b744b2e,-2156.000,23128.000,-18032.000
2026-09-18T11:59:38,df6470a31b744b2e,-2156.000,23324.000,-18130.000
2026-09-18T11:59:39,df6470a31b744b2e,-1862.000,23324.000,-18228.000
2026-09-18T11:59:40,df6470a31b744b2e,-1960.000,23324.000,-18228.000
2026-09-18T11:59:41,df6470a31b744b2e,-2058.000,23226.000,-18130.000
2026-09-18T11:59:42,df6470a31b744b2e,-2156.000,23226.000,-18326.000
2026-09-18T11:59:43,df6470a31b744b2e,-1960.000,23324.000,-18424.000
2026-09-18T11:59:44,df6470a31b744b2e,-2058.000,23030.000,-18326.000
2026-09-18T11:59:45,df6470a31b744b2e,-2156.000,23324.000,-18032.000
2026-09-18T11:59:46,df6470a31b744b2e,-2156.000,23422.000,-18228.000
2026-09-18T11:59:47,df6470a31b744b2e,-2058.000,23324.000,-18326.000
2026-09-18T11:59:48,df6470a31b744b2e,-2058.000,23324.000,-18032.000
2026-09-18T11:59:49,df6470a31b744b2e,-2156.000,23324.000,-18130.000
2026-09-18T11:59:50,df6470a31b744b2e,-2058.000,23324.000,-18326.000
2026-09-18T11:59:51,df6470a31b744b2e,-2058.000,23422.000,-18130.000
2026-09-18T11:59:52,df6470a31b744b2e,-1960.000,23422.000,-18228.000
2026-09-18T11:59:53,df6470a31b744b2e,-2058.000,23324.000,-18228.000
2026-09-18T11:59:54,df6470a31b744b2e,-1960.000,23422.000,-18032.000
2026-09-18T11:59:55,df6470a31b744b2e,-2058.000,23324.000,-18424.000
2026-09-18T11:59:56,df6470a31b744b2e,-2058.000,23324.000,-18228.000
2026-09-18T11:59:57,df6470a31b744b2e,-2058.000,23226.000,-18228.000
2026-09-18T11:59:58,df6470a31b744b2e,-2058.000,23324.000,-18424.000
2026-09-18T11:59:59,df6470a31b744b2e,-2156.000,23324.000,-18326.000
2026-09-18T12:00:00,df6470a31b744b2e,-2156.000,23422.000,-18130.000
2026-09-18T12:00:01,df6470a31b744b2e,-2156.000,23422.000,-18326.000
2026-09-18T12:00:02,df6470a31b744b2e,-2058.000,23226.000,-18228.000
2026-09-18T12:00:03,df6470a31b744b2e,-2156.000,23422.000,-18130.000
2026-09-18T12:00:04,df6470a31b744b2e,-2156.000,23226.000,-18130.000
2026-09-18T12:00:05,df6470a31b744b2e,-2058.000,23520.000,-18228.000
2026-09-18T12:00:06,df6470a31b744b2e,-2254.000,23520.000,-18424.000
2026-09-18T12:00:07,df6470a31b744b2e,-2058.000,23422.000,-18228.000
2026-09-18T12:00:08,df6470a31b744b2e,-1960.000,23226.000,-18326.000
2026-09-18T12:00:09,df6470a31b744b2e,-2058.000,23520.000,-18326.000
2026-09-18T12:00:10,df6470a31b744b2e,-2058.000,23324.000,-18130.000
2026-09-18T12:00:11,df6470a31b744b2e,-1862.000,23520.000,-18326.000
2026-09-18T12:00:12,df6470a31b744b2e,-1960.000,23324.000,-18228.000
2026-09-18T12:00:13,df6470a31b744b2e,-2058.000,23422.000,-18228.000
2026-09-18T12:00:14,df6470a31b744b2e,-2156.000,23226.000,-18130.000
2026-09-18T12:00:15,df6470a31b744b2e,-1960.000,23226.000,-18130.000
2026-09-18T12:00:16,df6470a31b744b2e,-2058.000,23226.000,-18424.000
2026-09-18T12:01:17,df6470a31b744b2e,-1078.000,14014.000,-14602.000
2026-09-18T12:01:18,df6470a31b744b2e,-1274.000,14014.000,-14700.000
2026-09-18T12:01:19,df6470a31b744b2e,-1176.000,13916.000,-14994.000
2026-09-18T12:01:20,df6470a31b744b2e,-1078.000,14014.000,-14798.000
2026-09-18T12:01:21,df6470a31b744b2e,-980.000,14210.000,-14602.000
2026-09-18T12:01:22,df6470a31b744b2e,-1078.000,14112.000,-14798.000
2026-09-18T12:01:23,df6470a31b744b2e,-980.000,14014.000,-14798.000
2026-09-18T12:01:24,df6470a31b744b2e,-1274.000,13916.000,-14602.000
2026-09-18T12:01:25,df6470a31b744b2e,-1078.000,14014.000,-14798.000
2026-09-18T12:01:26,df6470a31b744b2e,-1078.000,13818.000,-14896.000
2026-09-18T12:01:27,df6470a31b744b2e,-1078.000,14014.000,-14896.000
2026-09-18T12:01:28,df6470a31b744b2e,-1078.000,14112.000,-14700.000
2026-09-18T12:01:29,df6470a31b744b2e,-1078.000,14014.000,-14700.000
2026-09-18T12:01:30,df6470a31b744b2e,-980.000,14014.000,-14798.000
2026-09-18T12:01:31,df6470a31b744b2e,-980.000,13916.000,-14700.000
2026-09-18T12:01:32,df6470a31b744b2e,-1078.000,13916.000,-14700.000
2026-09-18T12:01:33,df6470a31b744b2e,-882.000,13916.000,-14700.000
2026-09-18T12:01:34,df6470a31b744b2e,-1176.000,14014.000,-14798.000
2026-09-18T12:01:35,df6470a31b744b2e,-1078.000,14014.000,-14994.000
2026-09-18T12:01:36,df6470a31b744b2e,-980.000,13916.000,-14798.000
2026-09-18T12:01:37,df6470a31b744b2e,-1078.000,13916.000,-14602.000
2026-09-18T12:01:38,df6470a31b744b2e,-1078.000,14112.000,-14798.000
2026-09-18T12:01:39,df6470a31b744b2e,-980.000,14112.000,-14798.000
2026-09-18T12:01:40,df6470a31b744b2e,-1078.000,14014.000,-14798.000
2026-09-18T12:01:41,df6470a31b744b2e,-980.000,14112.000,-14700.000
2026-09-18T12:01:42,df6470a31b744b2e,-1078.000,14112.000,-14896.000
2026-09-18T12:01:43,df6470a31b744b2e,-980.000,14112.000,-14896.000
2026-09-18T12:01:44,df6470a31b744b2e,-882.000,14210.000,-14602.000
2026-09-18T12:01:45,df6470a31b744b2e,-980.000,14210.000,-14798.000
2026-09-18T12:01:46,df6470a31b744b2e,-1078.000,14014.000,-14700.000
2026-09-18T12:01:47,df6470a31b744b2e,-1078.000,14112.000,-14798.000
2026-09-18T12:01:48,df6470a31b744b2e,-1078.000,14112.000,-14798.000
2026-09-18T12:01:49,df6470a31b744b2e,-980.000,14210.000,-14896.000
2026-09-18T12:01:50,df6470a31b744b2e,-1078.000,13916.000,-14700.000
2026-09-18T12:01:51,df6470a31b744b2e,-980.000,14014.000,-14798.000
2026-09-18T12:01:52,df6470a31b744b2e,-980.000,14014.000,-14700.000
2026-09-18T12:01:53,df6470a31b744b2e,-882.000,13916.000,-14602.000
2026-09-18T12:01:54,df6470a31b744b2e,-1078.000,14112.000,-14798.000
2026-09-18T12:01:55,df6470a31b744b2e,-980.000,14014.000,-14602.000
2026-09-18T12:01:56,df6470a31b744b2e,-1078.000,14014.000,-14896.000
2026-09-18T12:01:57,df6470a31b744b2e,-784.000,13916.000,-14896.000
2026-09-18T12:01:58,df6470a31b744b2e,-1078.000,14014.000,-14700.000
2026-09-18T12:01:59,df6470a31b744b2e,-980.000,14112.000,-14700.000
2026-09-18T12:02:00,df6470a31b744b2e,-1078.000,14014.000,-14798.000
2026-09-18T12:02:01,df6470a31b744b2e,-980.000,14014.000,-14700.000
2026-09-18T12:02:02,df6470a31b744b2e,-1078.000,14014.000,-14602.000
2026-09-18T12:02:03,df6470a31b744b2e,-980.000,14014.000,-14896.000
2026-09-18T12:02:04,df6470a31b744b2e,-980.000,14210.000,-14896.000
2026-09-18T12:02:05,df6470a31b744b2e,-980.000,14112.000,-14798.000
2026-09-18T12:02:06,df6470a31b744b2e,-1078.000,13818.000,-14700.000
2026-09-18T12:02:07,df6470a31b744b2e,-1176.000,14014.000,-14896.000
2026-09-18T12:02:08,df6470a31b744b2e,-1078.000,14112.000,-14700.000
2026-09-18T12:02:09,df6470a31b744b2e,-1274.000,14014.000,-14700.000
2026-09-18T12:02:10,df6470a31b744b2e,-1078.000,14112.000,-14602.000
2026-09-18T12:02:11,df6470a31b744b2e,-980.000,14014.000,-14994.000
2026-09-18T12:02:12,df6470a31b744b2e,-1078.000,13916.000,-14798.000
2026-09-18T12:02:13,df6470a31b744b2e,-1176.000,14014.000,-14994.000
2026-09-18T12:02:14,df6470a31b744b2e,-1176.000,14014.000,-14896.000
2026-09-18T12:02:15,df6470a31b744b2e,-980.000,14014.000,-14798.000
2026-09-18T12:02:16,df6470a31b744b2e,-1078.000,13916.000,-14798.000
2026-09-18T12:02:17,df6470a31b744b2e,-882.000,13916.000,-14700.000
2026-09-18T12:02:44,df6470a31b744b2e,-392.000,8722.000,-11858.000
2026-09-18T12:02:45,df6470a31b744b2e,-490.000,8918.000,-11662.000
2026-09-18T12:02:46,df6470a31b744b2e,-294.000,8722.000,-11564.000
2026-09-18T12:02:47,df6470a31b744b2e,-686.000,8918.000,-11662.000
2026-09-18T12:02:48,df6470a31b744b2e,-490.000,8722.000,-11662.000
2026-09-18T12:02:49,df6470a31b744b2e,-588.000,8918.000,-11564.000
2026-09-18T12:02:50,df6470a31b744b2e,-490.000,8918.000,-11662.000
2026-09-18T12:02:51,df6470a31b744b2e,-392.000,8624.000,-11662.000
2026-09-18T12:02:52,df6470a31b744b2e,-490.000,8820.000,-11564.000
2026-09-18T12:02:53,df6470a31b744b2e,-588.000,8820.000,-11858.000
2026-09-18T12:02:54,df6470a31b744b2e,-392.000,8624.000,-11760.000
2026-09-18T12:02:55,df6470a31b744b2e,-392.000,8722.000,-11662.000
2026-09-18T12:02:56,df6470a31b744b2e,-686.000,8820.000,-11662.000
2026-09-18T12:02:57,df6470a31b744b2e,-490.000,8918.000,-11662.000
2026-09-18T12:02:58,df6470a31b744b2e,-490.000,8918.000,-11662.000
2026-09-18T12:02:59,df6470a31b744b2e,-490.000,8918.000,-11564.000
2026-09-18T12:03:00,df6470a31b744b2e,-392.000,8820.000,-11564.000
2026-09-18T12:03:01,df6470a31b744b2e,-490.000,8820.000,-11760.000
2026-09-18T12:03:02,df6470a31b744b2e,-392.000,8918.000,-11760.000
2026-09-18T12:03:03,df6470a31b744b2e,-392.000,8820.000,-11466.000
2026-09-18T12:03:04,df6470a31b744b2e,-490.000,9016.000,-11662.000
2026-09-18T12:03:05,df6470a31b744b2e,-392.000,8820.000,-11662.000
2026-09-18T12:03:06,df6470a31b744b2e,-392.000,8820.000,-11760.000
2026-09-18T12:03:07,df6470a31b744b2e,-392.000,8918.000,-11662.000
2026-09-18T12:03:08,df6470a31b744b2e,-392.000,9114.000,-11564.000
2026-09-18T12:03:09,df6470a31b744b2e,-490.000,8820.000,-11564.000
2026-09-18T12:03:10,df6470a31b744b2e,-490.000,8820.000,-11760.000
2026-09-18T12:03:11,df6470a31b744b2e,-490.000,8722.000,-11760.000
2026-09-18T12:03:12,df6470a31b744b2e,-392.000,8918.000,-11760.000
