File Name,sam_2024-03-25_10-33-37_Connect.pcrd
Created By User,sam
Notes,
ID,
Run Started,03/25/2024 17:33:49 UTC
Run Ended,03/25/2024 18:20:29 UTC
Sample Vol,20
Lid Temp,105
Protocol File Name,SsoFast_Eva_cDNA.prcl
Plate Setup File Name,20240325-cgig-carryover-citrate_synthase-DNMT1.pltd
Base Serial Number,BR006896
Optical Head Serial Number,788BR07000
CFX Maestro Version,5.0.021.0616. 
