,Cycle,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
,1,-330.149543184658,-259.840915183954,-160.195705218383,-242.678455280067,-210.488278359605,-155.025002225361,-15.4800440871868,-532.514467231832,-10.6643341887693,-285.07465894842,-406.452878019444,-6.74977960915749,-347.455305340625,-191.112126629719,-323.161990345207,-265.329935105981,-204.054776434888,0.687593199639196,7.18575142042846,-262.742316602258,-141.13996697733,-441.413753768561,-296.07936530907,8.93152757945063,-334.587548760524,-258.283809585887,30.6110166618419,-260.789091314754,-9.20983990878722,13.8641731304215,7.04841427354768,-535.489004188603,-25.0074951783217,-329.769160577387
,2,21.2050575719377,9.50303952269405,11.938753045486,9.09799098038911,4.6749012295777,19.8923901782791,14.8495133142478,13.2861510780422,13.8415038199455,18.2521583344442,36.113247822097,33.1860248856865,-289.439251658968,34.141030644435,34.1202263476707,10.8220878090897,24.820305710532,23.2148289863098,28.954072957682,32.3157135021183,22.3578256701931,27.0228503909038,34.7582719857819,24.4987144802235,25.5222979441278,18.8255580847117,39.1103716662992,35.0628264673996,12.3443585330797,17.927794270332,29.6132307045555,26.8371502940272,-11.1763602778792,-19.9830864482929
,3,23.5715494571041,25.7566921164589,17.7426714955873,16.7655418415052,13.9691563408287,33.7656838074354,24.0841487520465,25.6009280310191,21.1303738220831,21.7185776586102,35.0558397419582,35.5491148866367,40.2375597356386,32.656594486255,33.040977111762,30.7806445049264,32.7289108603554,32.3384574118372,36.0705366431339,30.1678885660203,32.9001570010132,36.9652457714501,38.8713066687669,23.6521027562776,22.2322425420352,23.4110733746929,41.3849715223359,39.8627940768038,16.8255660028499,18.5009064850037,38.8408923558627,31.3227920559693,-2.22647432042231,-18.3825522409497
,4,21.4111767591794,17.0240937449562,16.5745056603737,14.7123551287432,12.0693093650307,26.1488608928721,21.8358984252409,17.175117439002,15.0166737305099,17.0171401864091,35.4566121016978,28.3635136502407,27.8984324328048,32.1676978668302,29.195615483769,24.1999852664339,23.9210903777876,32.9915652483796,30.2438079073772,34.8556526408574,25.0162595849151,28.2318909359519,30.9351404916733,24.7614546469622,16.0206433933599,23.3899738363589,35.2668302388729,29.0120649188284,17.5572744439069,17.8502334152581,26.4872063941057,27.4159068224681,-3.8139800829922,-10.0127967656717
,5,14.3701709908219,14.8116626543369,12.9455056526376,16.1827567551381,18.1241561686757,21.9886945059689,18.4150104725341,21.2133110407076,19.5532169126454,17.4401501434313,26.215513422283,25.0420009848613,23.3407494533558,23.5647242436889,26.2825867534639,23.6411472692498,20.2933886441524,23.9383478443151,31.6621624629415,29.2442755211341,20.1020121400652,23.6255535128594,20.7234044683182,13.5610211757612,18.0512032143088,16.0043939093357,21.3630925657453,24.0504747047862,17.3789330936679,12.7791016077681,24.6388395457998,23.2186663050497,6.09042321453035,-4.70957314456518
,6,10.9901573088609,13.6437787507884,8.99381689135498,10.0694706065278,10.7586369642322,14.9295841219227,13.8302885218991,16.4598711592225,7.82932303176676,12.1372015075649,18.4274620403439,13.4549708360228,17.2632602374706,19.6876594381229,22.0079914991638,15.0789942467882,15.908033083907,12.9318436807571,23.8667910716122,22.3113145607513,18.3903947279559,15.7507520970594,16.3422940739138,13.9901491027267,12.9598565638471,15.5407624869013,15.8544765362558,15.6098241968721,10.1194761567258,5.81925488026081,18.310964734047,21.0253112985902,-3.0662728462994,-5.75054362683568
,7,7.12524984473566,8.17555279418866,8.31489152597169,6.08781246552007,4.2073597256167,12.2997196003689,7.82532161375639,9.31254606064431,0.207380320041921,3.66382422867446,5.49646262265196,13.0704794287212,8.6479956017638,14.3242422356279,10.4351892008108,11.4749865835965,9.14214047896257,8.81377684378185,15.7038529609745,11.2744381561433,12.9422700605692,10.8589886956252,5.33226468594239,2.20318111368488,6.76550670704728,3.79511196831936,7.37336577161113,4.88142327221613,3.91186391434894,2.08277103404089,3.04223897410157,11.8756250864526,-3.82071422059471,0.0324983313194025
,8,3.78452994589225,0.95960782747261,10.3732422236299,2.35751090111535,5.14095458877637,8.51514929687437,6.38288358699356,2.75929356701545,6.34082985972236,4.52858522620318,5.57180520976453,-0.277305313124998,-0.203746871890871,5.05747487300505,6.70012430778206,3.59728812306184,-0.777888716200323,-5.42659289621042,5.68811322992133,5.81448028551858,6.29958734266438,1.90710757877605,-0.559729046763096,-1.37758821489933,5.41029125179102,3.8704964471126,2.79902414191474,-2.2301993112369,2.60923591873507,2.23817747160956,5.9337544821492,6.21114718742228,-2.72007477374882,0.885168372920816
,9,-1.96604888988259,-3.61871268233335,-2.64296233837194,0.487060883719096,4.73934511037533,0.174873427504281,1.21486384588843,-4.51032331870738,-3.98184434223731,-3.3566567244834,-2.19530922679041,-5.03118826454738,-5.45598401313327,-1.5859771197338,-5.74398699825269,-1.74816471936992,-5.68082979191968,-7.58842019807253,-1.32228143540851,-0.307472960677842,-4.88470919656174,-0.0555900386607391,-3.38188023941711,-3.7534772918134,-1.42031725610195,0.86518777044239,-9.53852972970708,-4.29884129489983,1.82703244273398,0.0999486025148144,-1.38490475771869,-2.29847272819916,-0.980467125522409,2.06102018390811
,10,-1.96493725581604,-4.28543688663558,-2.78067780119636,-1.33699865597191,-5.60947186944395,-4.21496796237807,-3.07944505083742,-2.31896888116262,-2.08070837415653,-2.70236675407887,-6.53667992773353,-11.8565522350027,-7.56033749425842,-5.30376159390198,-8.38715359453545,-1.970846519308,-8.64365447469845,-8.70561576753789,-3.69712728448121,1.53138166469944,-5.24211765887685,-5.71874502280207,-9.08957027846463,-9.05656458260637,-1.19767053440683,-0.78016949438279,-11.680064080474,-9.18699724793623,-11.0850057546259,-7.34445463154589,-6.84217501633793,-5.54239685927132,-0.773464523695111,1.36326614901645
