,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
,1,32.1247759755834,43.5631193233739,30.4787430065298,-459.68531466627,-437.22252399808,10.1925141608172,-363.705339409184,-471.395196316518,-278.778004994695,15.2463621108618,10.3304987344918,13.9991407995676,-533.242910751199,15.8995712319293,16.4627907333434,-369.150334079776,3.15799023716136,-309.34967338118,-25.397283622382,-379.978346922311,-2.7709228347685,-6.69726002807784,4.66020180908072,-336.297480840718,-491.433821329629,-344.640795939578,-243.61124967175,-481.695459643557,-286.169714944416,-16.8997186828474,-92.7382003508328,19.0499278752104,-33.5683313304044,-29.22904659298
,2,50.1085639921712,34.9467295430841,35.5901025632929,27.1387404318612,17.7699530044601,13.7899859482568,9.99657145231049,5.67356128739266,28.0559858613797,25.1873982579091,25.1526711396609,35.1998463808104,35.3234999448578,26.3381675281335,23.1678990036771,1.86641223985225,15.6584527422174,8.85162221702558,-2.47828919656695,3.43029943798956,16.826021735852,15.6971969806118,18.3194773945106,16.9473159406607,31.1654591646957,8.52594881343248,10.9990753058737,-1.90832879873778,12.3612205874151,13.7198338896451,22.3663397078599,17.1689082566481,-14.093348171541,-14.6573589988539
,3,41.9314633194435,26.8642341640034,29.0443139283216,32.7154655754648,19.8264871737392,18.4474323309278,13.433876834868,13.447264348315,29.3194727178961,28.2723349908765,29.2113257714709,32.0285329881845,35.9895457809089,26.4357708392126,21.9251725777831,9.7061500715181,20.3147764614268,21.2721987275145,7.48311444545016,6.80211508516823,17.1128357958196,15.6120894036085,23.7035366871505,19.7439973760711,24.275108439645,13.190942373958,16.7136555026509,9.40123155528909,20.7587185635393,18.9673588070118,26.1181511780142,27.7211356214639,-8.16656522995163,4.28769675722288
,4,29.1006412686611,24.2376722253821,25.9318453446131,24.0919304530271,21.0949607137109,21.5931667563455,15.5287931666671,16.4481871037196,28.3602822496832,26.2429152631994,30.8243039198151,30.1727734045435,36.2344799391558,20.1298136785126,25.467430494049,11.2711519436671,24.8408168099895,18.9123266825363,12.8415505249604,19.1290632236105,19.8321562331503,20.6301192531391,26.7848933381874,26.6698396057282,18.3714211311399,11.7534504613341,13.6839092225191,10.8363412776544,20.3992041376259,19.5353043547921,27.8180736863142,25.3364447424956,-3.9486337183962,2.62795581291175
,5,27.225477815774,21.1538098792462,21.2045642140465,17.6011167621728,18.4195729958374,16.4428175050316,15.1143901857449,19.3479533279196,28.4300511308338,21.6759380536878,21.8952135377822,22.9819721899867,20.7292977289162,17.5864550294018,16.8640543621123,9.54020790949289,15.3907996627477,19.3555434004602,14.414576508284,11.8649296319336,17.3998394944356,19.9816799157552,17.050315116112,17.6605652487924,14.2967025092703,10.5039379522959,15.192716497967,10.4717359778706,15.204372295776,11.885903594095,19.0130028836111,22.3089919643162,-0.032305156520124,-1.75172038229903
,6,13.4234665996764,20.7137452346096,17.6074110376849,16.2900547494628,11.5764758887008,13.304836553626,13.8987508510781,14.5529997507974,21.8459306436116,20.7657741135145,21.3152069169046,14.0149736092826,21.4635914450582,21.4471573954661,18.8187816776126,10.3320463822556,19.2080688117503,18.4178242510834,10.939118756246,13.5432453548538,12.9810184175576,10.0501905068922,16.8598458854613,17.4741882730923,9.69741797126517,12.1192718438042,9.64115751488134,14.6832759327081,13.8864240801813,17.1758775281551,14.7591811501161,18.3343995347568,5.77928304478428,-0.501748230202793
,7,7.38509481179881,15.1626658126561,8.90237362807056,10.6461073058117,12.6941568754573,8.85797096229089,12.4248494715366,7.10857677022432,12.7026469765815,13.4575536394868,12.8764510453821,16.1238976818186,8.80511694184224,11.2690966750361,13.4016343594076,10.5519475674346,13.2885184964534,13.4896110449317,11.873975296201,6.2328464956272,12.7897622216524,10.7109033230554,11.0746196549244,10.2588081167114,7.65351872537212,10.3083867584992,10.3137886363402,11.1015298111133,8.81448252232076,12.4515581325195,13.2837991314791,11.5247838398745,4.75770661272145,-2.22032783421218
,8,0.630202532199291,7.18538216200523,10.5244252123011,7.89989315780349,7.63694199306974,6.40164673855907,12.246112732465,10.0712314878601,5.31430581572749,8.14050862002659,7.79778304384672,10.0748555827404,-1.03441950636079,10.2763990359745,8.84589577010684,6.67590632543397,11.7401320412182,7.52782171966828,9.64626509184109,4.41149491046053,5.33235305605194,7.4176837665882,8.22752491139363,8.44158203497227,4.89218804377197,5.07147852399703,8.31007131117167,10.3547620399841,4.36661451394957,2.18407778946312,9.44903860309205,3.72201925014724,-0.281720138315904,1.74794890677458
,9,-0.0385818385630046,1.391441982586,-2.98950456251259,5.64137668067724,-1.24620212924856,-1.93247798176344,1.08643889341784,5.24959301358467,0.581687607610547,4.41395162836398,-0.385619073624184,-5.84991129504033,-2.02549632848149,3.1160176030744,5.05209637345524,-1.01480789083871,7.85024933849945,3.30002468663588,0.855675305604564,2.22100760147714,2.95000788437937,-2.37109062723721,2.78853108746353,0.507921956446808,0.329427025236328,3.25337815545572,2.19053315950623,0.547165214499728,-0.883768966038588,-2.78442260827342,1.7990698914864,-4.17374704884332,4.51396588783973,0.916770043821998
,10,-4.45704552851112,-2.4342707243095,-4.69823882765832,-5.57579619673561,-3.53221491648765,-0.748913817196808,-1.4236192206572,-3.81063673153312,-5.12697389926143,-4.70720174927555,-3.86428821665868,-6.63035427001614,-14.2351164133934,-5.08685805105324,-2.05897009080763,2.76993146358109,-2.60421959842824,-1.62602103144673,-3.62420156471671,2.44792978044097,-6.91633042108697,-5.10098937590192,-5.08521521146486,-3.65488953274416,-2.43609933153311,1.90470592328165,-3.01194859959105,1.91181681685521,-5.70497321945641,-4.56047371261775,-2.65835923249233,-6.81137484893043,-0.107368722449792,-0.206512647847376
,11,-14.4983040847737,-9.33157594998102,-12.278646872177,-10.1879347731483,-6.93075438153483,-8.80459934083956,-8.47873421717213,-4.50180058152182,-7.99084295799094,-14.3226613694733,-13.8991036581583,-16.7948148610021,-24.9157953272006,-5.94721430428399,0.764344393221108,-1.99907202793474,-5.01972241353815,-5.96973088373215,-4.24651938099487,-8.83947011927648,-9.30960093671911,-7.72080141579681,-14.5450665707422,-3.76220893544269,-6.4176162306585,-2.72444288187216,-9.38035529657554,-2.13446540992027,-10.2161604236599,-8.80289413270202,-9.74041751670939,-6.63094125045427,4.65118942660138,2.89626467823018
