File Name,sam_2024-03-25_06-10-54_Connect.pcrd
Created By User,sam
Notes,
ID,
Run Started,03/25/2024 13:11:15 UTC
Run Ended,03/25/2024 13:57:30 UTC
Sample Vol,20
Lid Temp,105
Protocol File Name,SsoFast_Eva_cDNA.prcl
Plate Setup File Name,20240325-cgig-carryover-ATPsynthase-HSP70.pltd
Base Serial Number,BR006896
Optical Head Serial Number,788BR07000
CFX Maestro Version,5.0.021.0616. 
