,Cycle,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
,1,11.343369697579,-229.175235828949,-155.923529862025,-261.207244003686,-24.0449398944629,-148.556217605889,-24.3631015721567,-16.7738198443394,-293.877058341475,-343.699082229088,-6.29410765324155,3.41072786254063,-594.479452573916,-190.225067082441,-419.323558868636,-322.0153403486,-214.281680574385,-0.745645712805526,-10.2952499857411,-167.236520052898,-216.189359341542,14.8915108562405,-257.505261890627,-6.5517141091641,-495.034820468334,-92.624151923018,-9.43261677872215,-318.394118319337,15.332833567104,-82.9840561350666,-323.658777474573,18.9449833936442,-24.9060198540938,-417.900387989516
,2,18.367396580602,5.10170044295865,7.12746456635068,4.22309527668494,7.04120319048798,13.7145183652165,1.27838958703251,17.9400224993478,5.2852777541375,5.97866061388049,9.46245747702778,16.9111973419585,44.0714423726504,31.3696085047568,19.6509903372353,22.1336346520629,28.0834530779448,22.4921831037891,20.8664696476371,20.1946350644166,29.5067413262186,29.2420979003819,40.1281270249065,12.9759806960446,22.4269490565002,9.14954532219872,12.2031511715586,24.8004007708387,20.6331066839521,-63.1387579112525,17.3387604826967,21.6900339128179,-9.21782039181289,-6.1789217093783
,3,17.5678774606222,14.0778486899662,17.7240190125385,12.1245079908695,21.2042179600439,22.7285996367145,16.2153798364125,20.0172938584283,22.5370203561361,22.2923367084231,20.3793757749409,27.717601227494,43.3925208337005,33.3951376681207,29.088446652916,17.1021456361686,32.3128575093488,32.5027341363484,29.6091147531952,28.1639507962036,32.9374646349816,28.8639448236145,36.9447288043802,14.0298039569016,21.0925802626352,18.3782245189905,28.1443541717927,30.5685501188154,23.8302450889205,28.882852385892,23.4727212355301,25.4202805505574,1.35649807709888,-0.234549742121089
,4,20.096070310924,18.2693579071838,12.4928288000456,19.4895548049635,25.848988773595,21.8574199467594,17.7965803730331,24.9895398267681,19.4108421674182,19.1996605953564,15.2974694237573,31.0044133590081,32.4844432155396,31.1374020259791,23.3663484935132,22.790321401304,33.9540850935336,26.775102179703,26.7700528935584,27.246985562686,29.5874369983658,34.2096842887831,34.6187953826529,14.7563855322433,19.4848515614003,17.7865729889127,28.1383132628262,25.7941457024444,26.0815139367751,23.8655457698114,21.2467518373096,27.6937698380079,2.63556634669021,1.54501795114356
,5,15.8129942574278,14.7019487169737,15.4640403710337,17.3189862268682,21.7495926658466,20.4725985006789,12.7880421906111,21.2547442466985,14.5876914240143,19.7092996069414,15.302244358656,20.482977157697,22.5895262827198,24.6706142144994,22.8783067896966,21.6261521919496,21.3810638807481,26.1092425025054,22.9434663620614,23.7385859012174,22.7115352612764,28.3377414367224,33.5797509022696,7.72361493571225,17.2590673059722,14.828955150123,12.3775361678518,24.8699704771652,15.2101720172586,18.0062638048757,20.6649370590503,22.8002550917199,-3.44858939171354,4.77010800773314
,6,11.6895083340924,13.6734915118022,11.731190505735,12.3754191966509,11.7611136024188,18.4720870493284,12.4879134900521,22.3484485380368,12.0795952564258,10.1089649935511,10.1148009090321,17.7744749980311,22.1637605227397,20.2574050322728,14.5147081100431,13.1534457485886,20.4071209536878,13.5046064041562,14.5297769517956,14.0259071410965,18.1521700691283,21.2831799998485,23.3384146546896,8.25474692122043,6.9077865684003,10.8194226631485,13.7263883310925,22.4888480927793,18.5547453071013,8.60921810456603,17.5062673424063,16.1710915681069,3.03885053746944,0.356255629680163
,7,9.03019908545866,7.49517661652499,9.76464527966436,10.8032915275735,10.0838588889856,8.22875766322068,5.85511386071721,7.75984412272828,10.2326333181318,8.19080288883833,6.60007139141271,6.03401117713656,12.3898612662888,16.5154937372663,10.1234058588916,9.25755809760813,10.5589482932546,18.9964216165463,15.6249257435911,12.3615080292575,18.0919978438105,7.80174111002907,10.7838124157197,1.33444952888385,9.68203823217755,6.76073539831941,7.66199210577361,15.8770302621879,19.0897281951202,14.4326904294949,16.757521540465,12.0593879813059,-1.12126416813771,-2.16087806716405
,8,13.0651540550107,7.97329023590919,11.8116949362047,8.89066159184677,9.60918368007879,11.4542240064166,5.2722425176662,10.8058145551358,12.9382026107478,8.57862851792925,12.0981709805474,10.9455304833618,19.3736468289862,16.7913240368653,11.3935328943171,9.07624211714392,10.0522666188735,13.5801799026394,12.4262293839383,16.6337289424455,13.8415108982736,17.376498690438,10.7149172730005,9.61426352273338,3.36188095797388,13.1322518495772,9.20148801045434,12.2923952664914,7.54191891759274,10.6561445371835,13.6973818142224,7.60592554185223,3.29558708075092,1.52080123793803
,9,-3.3419134134665,4.96999106428029,6.8138090076427,12.2684108127987,5.19172926912415,12.040298120527,0.881344092723339,3.5453530449995,2.39245649074928,3.97103956550745,-1.54823072687668,4.6176213896706,6.72742148623547,4.89110731013898,5.7338563467174,2.75406893886429,3.72249723311779,2.33836615690598,2.20559116791082,3.41856934391581,6.39867987327307,6.05857378385008,6.79387711661457,-0.0485286476587135,3.19755693866045,3.43865223221928,3.55237783095981,8.10627090680555,6.70153995669989,4.34831059162661,6.45862428059445,8.53608081878247,-0.306593957887344,-1.91160783249506
,10,5.78872078548466,9.18957808099276,5.55508790235945,6.43269009375581,8.18400216832106,7.77953386618447,2.22626868268344,10.5850335567575,7.1708852148995,6.40434993090639,10.7821404321121,7.57834111777447,6.50139533744004,12.8013932121994,4.10435697349203,2.76582244585006,3.68326290328787,3.50585348628829,10.1653260425737,2.89882211894019,6.18065238743657,6.46187286729037,4.20732078641959,6.3473465869256,1.00084794365102,5.98016285800804,9.4651092471413,6.38478215601117,2.49937993732965,6.46003185186964,3.23615690085353,6.18265755272841,4.81631091402687,8.6025584986628
,11,-0.703899404544245,0.887950074354194,-1.88847099577652,-10.4390830456905,-5.95126609297222,-6.4411766640369,-3.15080553812368,-5.01182209048966,-3.66373382362872,-8.09085373639209,-7.49358307971579,-10.3211509869261,-5.35529007038895,-5.18715297793642,-3.72382541742627,-8.05292953116623,-1.55492613208298,-8.62892070881662,-8.81134257283793,-9.76345205582038,-5.28641001752476,1.69243108620503,-6.84140689882952,-4.90621002903299,-8.11760756983585,-5.68528625735689,-9.50542398752259,-8.76783979486481,-4.23218745665781,-11.0519405613622,-3.52877457744125,-7.73202716365631,-2.4158303734639,-3.92746017787886
,12,-3.59435921019303,-2.87911531421923,1.1611889958649,-2.52600059354972,-9.2252022962266,-8.07695231263187,-10.1078176125939,-5.23532844033343,-0.744519692064387,-8.74031335713153,-1.30946722998306,-8.5372426922786,-7.31171386974074,-7.57917783079574,-7.75127734718171,-6.49691152768446,-12.9335463515808,-10.8487280410727,-7.30133136742006,-5.09475815644782,-1.84156052540129,-7.85067247510051,-9.65688999692611,-5.19479112672707,-5.90106975369054,-4.0176384841825,-11.2368523241166,-4.09227430602277,-5.78101056514333,-5.0527144209891,-8.71511441063012,-9.89201278932342,-3.84642419000284,0.965817373549726
