Term	Count
anatomical structure development	1137
signaling	600
cell differentiation	533
immune system process	331
lipid metabolic process	212
vesicle-mediated transport	164
transmembrane transport	158
carbohydrate derivative metabolic process	158
programmed cell death	148
reproductive process	123
cell motility	123
nucleobase-containing small molecule metabolic process	119
cytoskeleton organization	106
defense response to other organism	97
amino acid metabolic process	90
membrane organization	88
protein-containing complex assembly	88
cell adhesion	80
cell junction organization	76
carbohydrate metabolic process	58
sulfur compound metabolic process	58
nervous system process	58
DNA-templated transcription	54
protein catabolic process	54
circulatory system process	51
mRNA metabolic process	50
mitotic cell cycle	45
autophagy	44
generation of precursor metabolites and energy	38
muscle system process	37
inflammatory response	37
protein maturation	37
intracellular protein transport	36
microtubule-based movement	35
regulation of DNA-templated transcription	33
DNA repair	32
mitochondrion organization	29
chromatin organization	26
nucleocytoplasmic transport	25
chromosome segregation	25
cellular modified amino acid metabolic process	23
wound healing	23
ribosome biogenesis	23
tRNA metabolic process	21
cilium organization	21
establishment or maintenance of cell polarity	17
telomere organization	17
endocrine process	16
mitotic nuclear division	16
DNA recombination	15
protein glycosylation	15
regulatory ncRNA-mediated gene silencing	15
renal system process	13
vitamin metabolic process	13
digestive system process	13
extracellular matrix organization	13
cytokinesis	12
peroxisome organization	11
protein localization to plasma membrane	11
detoxification	11
lysosome organization	10
meiotic nuclear division	10
DNA replication	9
protein folding	9
cytoplasmic translation	8
cell wall organization or biogenesis	5
mitochondrial gene expression	4
respiratory system process	3
snRNA metabolic process	3
nitrogen cycle metabolic process	1
photosynthesis	0
hepaticobiliary system process	0
